ED,ED Name,"Number
of Polls",AFP,LIB,AP,SC,CP-A,GPA,NDP,PC,WRP,IND,"Voter
Turnout
(%)"
1,DUNVEGAN-CENTRAL PEACE-NOTLEY,58,0,0,0,0,0,0,"3,692","2,766","3,147",,58.7
2,LESSER SLAVE LAKE,65,0,0,0,0,0,0,"3,915","1,944","3,198",,44.8
3,CALGARY-ACADIA,72,0,765,0,0,0,0,"5,506","4,602","4,985",,54.6
4,CALGARY-BOW,75,0,682,459,0,0,448,"5,669","5,419","3,752",,51.6
5,CALGARY-BUFFALO,78,0,"3,282",0,0,0,263,"4,671","3,738","1,351",,40.9
6,CALGARY-CROSS,79,0,"1,194",0,0,0,236,"4,602","4,501","2,060",143,40.6
7,CALGARY-CURRIE,90,0,"1,441","1,006",0,0,373,"7,387","4,577","3,769",,49.9
8,CALGARY-EAST,97,0,806,0,0,138,0,"5,506","3,971","3,633",,40.9
9,CALGARY-ELBOW,85,0,565,"8,707",67,0,0,"3,256","6,254","1,786",,59.7
10,CALGARY-FISH CREEK,73,0,0,850,148,0,0,"6,069","6,198","5,568",,61
11,CALGARY-FOOTHILLS,80,0,"1,271",0,0,0,363,"5,748","7,163","3,216",,52.4
12,CALGARY-FORT,80,0,476,410,0,0,0,"7,027","3,204","3,003",,43.9
13,CALGARY-GLENMORE,94,0,"1,345",719,0,0,0,"7,021","7,015","5,058",,57.3
14,CALGARY-GREENWAY,75,0,0,0,0,0,0,"4,513","5,337","2,627",,41
15,CALGARY-HAWKWOOD,86,0,736,925,90,0,455,"7,443","6,378","4,448",,57.1
16,CALGARY-HAYS,76,0,722,0,93,0,250,"5,138","6,671","4,562",,53.3
17,CALGARY-KLEIN,84,0,"1,104",0,0,0,0,"8,098","4,878","4,206",,53.3
18,CALGARY-LOUGHEED,83,0,817,0,0,0,0,"5,437","5,939","4,781",,50.8
19,CALGARY-MACKAY-NOSE HILL,95,0,768,0,0,0,316,"6,177","4,585","4,914",,48.9
20,CALGARY-MCCALL,80,0,"2,224",0,0,0,0,"3,812","2,317","3,367","1,010",42.8
21,CALGARY-MOUNTAIN VIEW,96,0,"7,204",0,0,0,0,"5,673","4,699","2,070",,54.4
22,CALGARY-NORTH WEST,90,0,935,"1,176",0,0,0,"5,724","6,320","5,163",,57.2
23,CALGARY-NORTHERN HILLS,107,0,"1,000",0,0,0,0,"6,641","5,343","4,392",,46
24,CALGARY-SHAW,78,0,668,661,0,0,0,"5,449","5,348","5,301",,53.7
25,CALGARY-SOUTH EAST,123,0,"1,304",0,0,0,374,"7,358","7,663","6,892",,50.6
26,CALGARY-VARSITY,87,0,"1,862",0,0,0,424,"8,297","5,700","2,598",,58.5
27,CALGARY-WEST,76,0,0,0,0,0,0,"4,940","8,312","4,512",,56.5
28,EDMONTON-BEVERLY-CLAREVIEW,82,0,359,147,0,0,0,"12,049","2,524","1,248",,46.4
29,EDMONTON-CALDER,86,0,527,0,0,0,0,"12,837","3,222","1,565",,50.2
30,EDMONTON-CASTLE DOWNS,86,0,880,0,0,0,0,"11,689","4,182","1,383",,51.1
31,EDMONTON-CENTRE,87,0,"4,199",0,0,0,0,"8,983","2,228",772,295 40,47.4
32,EDMONTON-DECORE,77,0,691,0,0,0,150,"10,531","2,847","1,289",,47.9
33,EDMONTON-ELLERSLIE,79,0,839,0,0,0,0,"11,034","3,549","2,499",,52.5
34,EDMONTON-GLENORA,80,0,553,463,0,0,195,"12,473","3,145","1,394",,53.2
35,EDMONTON-GOLD BAR,84,0,702,662,0,0,0,"15,349","4,147","1,422",,61
36,EDMONTON-HIGHLANDS-NORWOOD,81,0,494,0,0,0,0,"11,555","1,778",967,,43.6
37,EDMONTON-MANNING,92,0,776,0,0,0,0,"12,376","2,599","1,475",,51.5
38,EDMONTON-MCCLUNG,71,0,0,808,0,0,0,"9,412","4,408","2,373",,54
39,EDMONTON-MEADOWLARK,83,0,"1,507",0,0,0,0,"9,796","3,924","1,972",,54.2
40,EDMONTON-MILL CREEK,71,0,"1,896",0,0,0,0,"9,025","3,848","1,365",,49.8
41,EDMONTON-MILL WOODS,71,0,850,0,0,44,0,"9,930","2,920","1,437",129,54.7
42,EDMONTON-RIVERVIEW,88,0,"1,416",487,0,0,135,"12,108","3,732","1,350",59,61.7
43,EDMONTON-RUTHERFORD,74,0,741,0,0,0,0,"11,214","3,940","1,644",,60.2
44,EDMONTON-SOUTH WEST,107,0,"1,199",543,0,0,0,"12,352","6,316","2,290",,55.3
45,EDMONTON-STRATHCONA,98,0,658,0,0,0,0,"13,592","2,242",0,,50.5
46,EDMONTON-WHITEMUD,98,0,629,0,0,0,182,"12,805","7,177","1,423",73,60.4
47,AIRDRIE,94,0,0,912,0,0,0,"6,388","6,181","7,499",399,53.6
48,ATHABASCA-STURGEON-REDWATER,84,0,0,0,0,0,0,"6,797","5,016","4,973",,60.2
49,BANFF-COCHRANE,86,0,0,0,0,0,0,"8,426","5,555","5,692",,54.2
50,BARRHEAD-MORINVILLE-WESTLOCK,87,0,0,0,0,0,0,"6,232","4,876","7,206",,59.7
51,BATTLE RIVER-WAINWRIGHT,83,0,500,0,0,0,0,"3,807","5,057","6,862",,58.8
52,BONNYVILLE-COLD LAKE,64,0,0,628,0,0,0,"2,136","3,594","5,452",,47.9
53,CARDSTON-TABER-WARNER,62,0,0,378,0,0,0,"2,407","4,356","5,126",,47.2
54,CHESTERMERE-ROCKY VIEW,92,0,0,0,0,0,405,"3,706","7,454","7,676","391 1,093",59.6
55,CYPRESS-MEDICINE HAT,86,0,528,0,0,0,0,"3,201","3,389","8,544",,52.9
56,DRAYTON VALLEY-DEVON,85,0,0,416,0,0,276,"4,816","5,182","6,284",,57.2
57,DRUMHELLER-STETTLER,89,0,0,0,0,0,0,"2,927","5,388","7,570",,59.3
58,FORT MCMURRAY-CONKLIN,40,0,204,0,0,0,0,"2,071","1,502","2,950",,44.3
59,FORT MCMURRAY-WOOD BUFFALO,59,0,345,0,0,0,0,"2,915","2,486","3,835",,41.9
60,FORT SASKATCHEWAN-VEGREVILLE,89,0,475,324,0,0,285,"8,983","5,527","3,959",,53.8
61,GRANDE PRAIRIE-SMOKY,89,0,787,0,0,0,0,"5,009","4,968","5,343",,49
62,GRANDE PRAIRIE-WAPITI,91,0,0,"2,048",0,0,0,"5,062","6,229","4,175",,46.9
63,HIGHWOOD,85,0,0,892,187,0,360,"3,937","6,827","8,504",,55.8
64,INNISFAIL-SYLVAN LAKE,88,0,0,"1,135",0,0,0,"4,244","5,136","7,829",,55.4
65,LAC LA BICHE-ST. PAUL-TWO HILLS,65,0,0,0,0,0,339,"4,214","3,004","4,763",,52.7
66,LACOMBE-PONOKA,71,0,0,"1,206",0,0,0,"5,481","5,018","6,502",,59.3
67,LEDUC-BEAUMONT,81,0,0,612,0,0,301,"8,321","6,225","6,543",,58.3
68,LETHBRIDGE-EAST,82,0,"1,201",0,0,0,0,"8,918","4,743","3,918",,53.4
69,LETHBRIDGE-WEST,87,0,634,0,0,0,0,"11,144","3,938","3,063",,55.4
70,LITTLE BOW,68,0,377,0,249,0,0,"3,364","4,793","4,803",,53.4
71,LIVINGSTONE-MACLEOD,79,0,464,0,0,0,0,"4,228","6,404","7,362",,56.2
72,MEDICINE HAT,82,0,0,731,0,0,0,"6,160","3,427","5,790",137,50.7
73,OLDS-DIDSBURY-THREE HILLS,79,0,0,685,0,0,0,"3,366","5,274","10,692",,59.4
74,PEACE RIVER,66,0,0,376,0,0,0,"3,821","3,529","1,979",,47.5
75,RED DEER-NORTH,86,0,"3,262",683,0,0,0,"4,969","3,836","4,173",,48.5
76,RED DEER-SOUTH,82,0,738,"1,035",0,0,274,"7,024","5,414","4,812",232 60,52
77,RIMBEY-ROCKY MOUNTAIN HOUSE-SUNDRE,83,0,0,0,0,0,0,"2,791","5,296","6,670","1,871",51.3
78,SHERWOOD PARK,86,0,0,0,0,0,0,"11,365","5,655","4,815",,66.4
79,SPRUCE GROVE-ST. ALBERT,100,0,916,"1,081",0,0,269,"11,546","6,362","4,631",,53.3
80,ST. ALBERT,97,0,778,493,0,0,0,"12,220","6,340","2,858",,62.6
81,STONY PLAIN,76,0,657,538,0,0,220,"7,268","4,944","5,586",,58.7
82,STRATHCONA-SHERWOOD PARK,81,0,0,721,0,0,0,"9,376","6,623","5,286",,64.3
83,STRATHMORE-BROOKS,89,72,200,304,0,0,322,"2,463","4,452","8,652",,49.7
84,VERMILION-LLOYDMINSTER,75,0,0,0,0,0,0,"2,428","5,935","4,171",,46.8
85,WEST YELLOWHEAD,65,0,0,0,0,0,0,"4,135","3,433","3,055",,46.3
86,WETASKIWIN-CAMROSE,76,0,0,0,0,0,0,"7,531","5,951","3,685",,54.7
87,WHITECOURT-STE. ANNE,75,0,0,0,0,0,0,"5,442","4,721","4,996",,53.8
