ED,ED Name,"Number
of Polls",LIB,NDP,AP,SC,CP-A,EPA,PC,SPA,WAP,IND,"Voter
Turnout
(%)"
1,DUNVEGAN-CENTRAL PEACE-NOTLEY,57,238,846,0,0,0,0,"3,981",0,"3,755",,58.9
2,LESSER SLAVE LAKE,63,237,426,0,0,0,0,"3,507",0,"2,851",172,38.5
3,CALGARY-ACADIA,71,940,677,0,0,0,202,"6,863",0,"6,308",,56.6
4,CALGARY-BOW,70,"1,369",598,237,0,0,0,"6,994",0,"5,617",,56.4
5,CALGARY-BUFFALO,78,"4,740",539,230,0,0,0,"3,506",0,"2,415",,44.3
6,CALGARY-CROSS,77,"1,220",604,0,0,0,260,"5,357",0,"4,557",,43.8
7,CALGARY-CURRIE,87,"2,646",896,534,0,0,224,"7,394",0,"4,750",,54.5
8,CALGARY-EAST,96,780,"1,136",0,0,166,0,"5,924",0,"4,995",,43.6
9,CALGARY-ELBOW,83,"1,067",761,518,0,0,225,"11,198",0,"5,509",,58.3
10,CALGARY-FISH CREEK,72,"1,260",894,0,0,0,0,"7,634",0,"7,672",,61.1
11,CALGARY-FOOTHILLS,72,"1,414",578,0,0,0,0,"8,251",0,"5,135",,52
12,CALGARY-FORT,79,"1,180",796,0,0,0,317,"4,855",0,"4,711",,44
13,CALGARY-GLENMORE,92,"1,437","1,208",0,0,0,0,"9,710",0,"7,902",,59
14,CALGARY-GREENWAY,71,"1,249",409,0,0,0,0,"6,538",0,"3,894",,45.5
15,CALGARY-HAWKWOOD,83,"1,632",911,242,103,0,199,"9,097",0,"7,030",99,57.8
16,CALGARY-HAYS,67,898,461,0,0,0,0,"8,621",0,"5,670",,54.9
17,CALGARY-KLEIN,82,"1,985","1,689",0,0,0,355,"6,859",0,"5,754",,55.5
18,CALGARY-LOUGHEED,76,"1,159",618,0,0,0,0,"7,836",0,"5,993",,51.7
19,CALGARY-MACKAY-NOSE HILL,78,"1,105",840,207,0,0,0,"6,604",0,"5,455",,48.9
20,CALGARY-MCCALL,64,"3,865",227,0,0,0,137,"3,085",0,"3,185",35,44.6
21,CALGARY-MOUNTAIN VIEW,89,"6,918",863,230,0,0,0,"5,270",0,"3,915",,57.7
22,CALGARY-NORTH WEST,76,"1,165",554,123,0,0,150,"9,165",0,"6,882",,59.3
23,CALGARY-NORTHERN HILLS,91,"1,198",762,0,0,0,0,"7,372",0,"5,548",,45.3
24,CALGARY-SHAW,76,"1,126",599,337,0,0,0,"6,864",0,"7,365",,54.4
25,CALGARY-SOUTH EAST,80,755,483,0,0,0,0,"7,161",0,"6,357",,47.9
26,CALGARY-VARSITY,86,"3,614",817,255,0,0,234,"8,099",0,"4,624",,59.7
27,CALGARY-WEST,71,"1,219",499,158,0,0,212,"8,160",0,"6,094",,58.8
28,EDMONTON-BEVERLY-CLAREVIEW,82,895,"5,264",0,0,0,151,"5,019",0,"2,909",,46.7
29,EDMONTON-CALDER,81,976,"5,731",189,52,0,0,"5,177",0,"2,790",,50.9
30,EDMONTON-CASTLE DOWNS,84,"1,768","1,934",260,0,0,0,"8,054",0,"3,295",,49.9
31,EDMONTON-CENTRE,84,"5,626","2,257",0,0,0,0,"4,296",0,"1,758",,49.5
32,EDMONTON-DECORE,74,"2,153","2,721",0,0,0,0,"5,722",0,"2,911",,47.3
33,EDMONTON-ELLERSLIE,74,"1,504","2,114",523,0,0,0,"5,677",0,"3,258",137,49.9
34,EDMONTON-GLENORA,80,"1,670","4,143","1,441",0,0,0,"6,183",0,"2,732",,55.7
35,EDMONTON-GOLD BAR,84,"4,078","5,836",345,0,0,198,"6,701",0,"3,169",,62.3
36,EDMONTON-HIGHLANDS-NORWOOD,83,587,"6,824",200,0,0,188,"2,778",0,"2,022",,45
37,EDMONTON-MANNING,87,"1,089","3,383",188,0,0,100,"5,454",0,"3,412",103,47.7
38,EDMONTON-MCCLUNG,71,"3,856","1,172",423,0,0,107,"7,287",0,"2,840",,57.8
39,EDMONTON-MEADOWLARK,76,"5,149","1,092",262,0,0,0,"5,031",0,"2,977",,53.1
40,EDMONTON-MILL CREEK,64,"1,640","1,336",194,0,43,0,"6,623",0,"2,193",,48.1
41,EDMONTON-MILL WOODS,73,"2,988","1,985",262,0,0,0,"4,942",0,"3,312",545,54.6
42,EDMONTON-RIVERVIEW,87,"4,202","3,892",306,0,0,0,"7,288",0,"2,721",,63.9
43,EDMONTON-RUTHERFORD,71,"3,619","1,368","1,672",0,0,85,"6,942",0,"2,765",,61
44,EDMONTON-SOUTH WEST,70,"2,251","1,283",308,0,0,0,"8,502",0,"2,713",,51.3
45,EDMONTON-STRATHCONA,97,670,"9,496",0,0,0,183,"3,038",0,"1,788",,54.4
46,EDMONTON-WHITEMUD,94,"2,356","1,728",446,0,0,0,"12,123",0,"3,307",,59
47,AIRDRIE,88,525,685,0,0,0,0,"5,376",0,"9,568",297,52.9
48,ATHABASCA-STURGEON-REDWATER,80,476,"2,091",0,0,0,0,"7,384",0,"5,304",,59.9
