,ped_number,PED_Name,Dimension,File,DimensionID,Value,GNR
3668,0,Alberta,"No certificate, diploma or degree",2,1814,"244,755.00",4.7%
3669,0,Alberta,Secondary (high) school diploma or equivalency certificate,2,1815,"569,435.00",4.7%
3670,0,Alberta,"Postsecondary certificate, diploma or degree",2,1816,"1,443,630.00",4.7%
3671,0,Alberta,Apprenticeship or trades certificate or diploma,2,1817,"238,220.00",4.7%
3672,0,Alberta,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,"69,415.00",4.7%
3673,0,Alberta,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"168,800.00",4.7%
3674,0,Alberta,"College, CEGEP or other non-university certificate or diploma",2,1820,"496,370.00",4.7%
3675,0,Alberta,University certificate or diploma below bachelor level,2,1821,"73,315.00",4.7%
3676,0,Alberta,"University certificate, diploma or degree at bachelor level or above",2,1822,"635,730.00",4.7%
3677,0,Alberta,Bachelor's degree,2,1823,"448,235.00",4.7%
3678,0,Alberta,University certificate or diploma above bachelor level,2,1824,"32,095.00",4.7%
3679,0,Alberta,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,"18,855.00",4.7%
3680,0,Alberta,Master's degree,2,1826,"116,975.00",4.7%
11837,1,Calgary-Acadia,"No certificate, diploma or degree",2,1814,"2,245.00",3.9%
11838,1,Calgary-Acadia,Secondary (high) school diploma or equivalency certificate,2,1815,"7,235.00",3.9%
11839,1,Calgary-Acadia,"Postsecondary certificate, diploma or degree",2,1816,"19,510.00",3.9%
11840,1,Calgary-Acadia,Apprenticeship or trades certificate or diploma,2,1817,"2,575.00",3.9%
11841,1,Calgary-Acadia,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,910.00,3.9%
11842,1,Calgary-Acadia,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,665.00",3.9%
11843,1,Calgary-Acadia,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,195.00",3.9%
11844,1,Calgary-Acadia,University certificate or diploma below bachelor level,2,1821,"1,225.00",3.9%
